index,name,mname,ttname,tlname,mscore,ttscore,tlscore,finalscore,filter,in_pf,special,
39,JUBLINGREA,Jubilant Ingrev.,Jubilant Ingrevia Ltd,Jubilant Ingrevia Ltd.,5.25,0.35,0,194.25,1,1,0,
64,THANGAMAYL,Thangamayil Jew.,Thanga Mayil Jewellery Ltd,Thangamayil Jewellery Ltd.,1,0.9,0.582608696,82.39130435,1,1,0,
21,DWARKESH,Dwarikesh Sugar,Dwarikesh Sugar Industries Ltd,Dwarikesh Sugar Industries Ltd.,0.875,0.9,0.70530303,82.31060606,1,0,0,All COUNT:
45,LARSEN,Larsen & Toubro,Larsen & Toubro Ltd,Larsen & Toubro Ltd.,0.875,0.885,0.570714286,77.15,1,1,0,26
52,PNCINFRA,PNC Infratech,PNC Infratech Ltd,PNC Infratech Ltd.,0.875,0.8,0.64115942,77.06557971,1,1,0,
1,ALLCARGO,Allcargo Logist.,Allcargo Logistics Ltd,Allcargo Logistics Ltd.,1,0.735,0.567681159,76.91884058,1,0,0,
60,TATASTEEL,Tata Steel,Tata Steel Ltd,Tata Steel Ltd.,0.75,0.935,0.639347826,76.67717391,1,1,0,
82,Motilal Oswal Financial Services,Motil.Oswal.Fin.,Motilal Oswal Financial Services Ltd,Motilal Oswal Financial Services Ltd.,0.875,0.8,0.619347826,76.30217391,1,1,0,
18,DAAWAT,L T Foods,LT Foods Ltd,LT Foods Ltd.,0.75,0.9,0.627608696,75.21630435,1,1,0,
25,EXIDEIND,Exide Inds.,Exide Industries Ltd,Exide Industries Ltd.,1,0.775,0.467391304,74.60869565,1,1,0,
28,HCLTECH,HCL Technologies,HCL Technologies Ltd,HCL Technologies Ltd.,0.875,0.84,0.517536232,73.93876812,1,1,0,
51,PHILIPCARB,Phillips Carbon,Phillips Carbon Black Ltd,Phillips Carbon Black Ltd.,0.625,1,0.624122807,73.71929825,1,1,0,
12,Bharat Electronic,Bharat Electron,Bharat Electronics Ltd,Bharat Electronics Ltd.,0.75,0.85,0.615909091,73.30681818,1,1,0,
6,AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Ltd,Aurobindo Pharma Ltd.,0.875,0.725,0.597681159,73.29384058,1,1,0,
26,FEDERALBNK,Federal Bank,Federal Bank Ltd,Federal Bank Ltd.,0.875,0.85,0.4825,73.0125,1,1,0,
9,BAJAJ-AUTO,Bajaj Auto,Bajaj Auto Ltd,Bajaj Auto Ltd.,0.875,0.83,0.485869565,72.53043478,1,1,0,
7,AXISBANK,Axis Bank,Axis Bank Ltd,Axis Bank Ltd.,0.875,0.745,0.544230769,72.02307692,1,1,0,
34,INFOSYS,Infosys,Infosys Ltd,Infosys Ltd.,0.75,0.835,0.58942029,71.92971014,1,1,0,
50,PERSISTENT,Persistent Sys,Persistent Systems Ltd,Persistent Systems Ltd.,0.75,0.75,0.656231884,71.71811594,1,1,0,
41,KEC,K E C Intl.,KEC International Ltd,KEC International Ltd.,0.875,0.8,0.467463768,70.98623188,1,0,0,
42,KNRCON,KNR Construct.,KNR Constructions Ltd,KNR Constructions Ltd.,0.75,0.725,0.612753623,69.44637681,1,1,0,
0,alkem,Alkem Lab,Alkem Laboratories Ltd,Alkem Laboratories Ltd.,0.875,0.67,0.527536232,69.18876812,1,0,0,
54,RADICO,Radico Khaitan,Radico Khaitan Ltd,Radico Khaitan Ltd.,0.75,0.74,0.559347826,68.02717391,1,1,0,
27,GRASIM,Grasim Inds,Grasim Industries Ltd,Grasim Industries Ltd.,1,0.5,0.505797101,67.70289855,1,1,0,
17,coromandel international,Coromandel Inter,Coromandel International Ltd,Coromandel International Ltd.,0.625,0.825,0.596014493,67.48550725,1,0,0,
69,VARDHMAN TEXTILES,Vardhman Textile,Vardhman Textiles Ltd,Vardhman Textiles Ltd.,0.625,0.9,0.527536232,67.33876812,1,0,0,
74,CEAT,CEAT,CEAT Ltd,Ceat Ltd.,0.875,0.575,0.545724638,66.97536232,0,0,0,
63,TEAMLEASE,Team Lease Serv.,TeamLease Services Ltd,TeamLease Services Ltd.,0.75,0.785,0.484130435,66.74456522,0,0,0,
80,Colgate-Palmolive,Colgate-Palmoliv,Colgate-Palmolive (India) Ltd,Colgate-Palmolive (India) Ltd.,0.75,0.695,0.551014493,66.38550725,0,0,0,
19,DIVISLAB,Divi's Lab.,Divi's Laboratories Ltd,Divi's Laboratories Ltd.,0.75,0.68,0.562753623,66.34637681,0,0,0,
40,JUBLPHARMA,Jubilant Pharmo,Jubilant Pharmova Ltd,Jubilant Pharmova Ltd.,0.625,0.84,0.542536232,66.06376812,0,1,0,
29,HDFCBANK,HDFC Bank,HDFC Bank Ltd,HDFC Bank Ltd.,0.75,0.765,0.475769231,65.85192308,0,0,0,
70,VGUARD,V-Guard Industri,V Guard Industries Ltd,V-Guard Industries Ltd.,1,0.535,0.393985507,64.83949275,0,1,1,
77,laxmimach,Lak. Mach. Works,Lakshmi Machine Works Ltd,Lakshmi Machine Works Ltd.,0.625,0.7,0.621086957,64.61304348,0,0,0,
